"id","zipcode","facility_name","facility_code"
"dhl_facility_73134",73134,"COIMBRA",73
"dhl_facility_73140",73140,"COIMBRA",73
"dhl_facility_73141",73141,"COIMBRA",73
"dhl_facility_73150",73150,"COIMBRA",73
"dhl_facility_73200",73200,"COIMBRA",73
"dhl_facility_73220",73220,"COIMBRA",73
"dhl_facility_73230",73230,"COIMBRA",73
"dhl_facility_73240",73240,"COIMBRA",73
"dhl_facility_73250",73250,"COIMBRA-RIBTJ",73
"dhl_facility_73260",73260,"COIMBRA",73
"dhl_facility_73270",73270,"COIMBRA",73
"dhl_facility_73280",73280,"COIMBRA",73
"dhl_facility_73300",73300,"COIMBRA",73
"dhl_facility_73301",73301,"COIMBRA",73
"dhl_facility_73304",73304,"COIMBRA",73
"dhl_facility_73305",73305,"COIMBRA",73
"dhl_facility_73320",73320,"COIMBRA",73
"dhl_facility_73330",73330,"COIMBRA",73
"dhl_facility_73334",73334,"COIMBRA",73
"dhl_facility_73350",73350,"COIMBRA",73
"dhl_facility_73360",73360,"COIMBRA",73
"dhl_facility_73400",73400,"COIMBRA",73
"dhl_facility_73401",73401,"COIMBRA",73
"dhl_facility_73404",73404,"COIMBRA",73
"dhl_facility_73405",73405,"COIMBRA",73
"dhl_facility_73406",73406,"COIMBRA",73
"dhl_facility_73420",73420,"COIMBRA",73
"dhl_facility_73421",73421,"COIMBRA",73
"dhl_facility_73424",73424,"COIMBRA",73
"dhl_facility_73430",73430,"COIMBRA",73
"dhl_facility_73431",73431,"COIMBRA",73
"dhl_facility_73440",73440,"COIMBRA",73
"dhl_facility_73441",73441,"COIMBRA",73
"dhl_facility_73450",73450,"COIMBRA",73
"dhl_facility_73460",73460,"COIMBRA",73
"dhl_facility_73461",73461,"COIMBRA",73
"dhl_facility_73465",73465,"COIMBRA",73
"dhl_facility_73475",73475,"COIMBRA",73
"dhl_facility_73500",73500,"COIMBRA",73
"dhl_facility_73501",73501,"COIMBRA",73
"dhl_facility_73504",73504,"COIMBRA",73
